Timestamp,Type,ID,BER,OSNR,InputPower,OutputPower
1623394635,Infrastructure,Ampli1,,,-23,0.7
1623394634,Devices,SPO1/18/11,2.28E-08,38.5,,
1623394635,Devices,SPO2/18/11,8.73E-07,23.5,,
1623394635,Infrastructure,Ampli2,,,-15.5,0.4
1623394635,Infrastructure,Ampli4,,,-22.9,0.7
1623394635,Infrastructure,Ampli3,,,-16.7,0.8
1623394638,Infrastructure,Ampli1,,,-23,0.7
1623394638,Devices,SPO1/18/11,1.72E-08,38.6,,
1623394638,Devices,SPO2/18/11,8.68E-07,23.5,,
1623394638,Infrastructure,Ampli4,,,-22.9,0.7
1623394638,Infrastructure,Ampli2,,,-15.5,0.4
1623394638,Infrastructure,Ampli3,,,-16.7,0.8
1623394641,Infrastructure,Ampli1,,,-23,0.7
1623394641,Infrastructure,Ampli2,,,-15.5,0.4
1623394641,Infrastructure,Ampli4,,,-22.9,0.7
1623394644,Infrastructure,Ampli1,,,-23,0.7
1623394644,Infrastructure,Ampli2,,,-15.5,0.4
1623394644,Infrastructure,Ampli4,,,-22.9,0.7
1623394641,Devices,SPO1/18/11,2.17E-08,38.5,,
1623394641,Devices,SPO2/18/11,8.61E-07,23.4,,
1623394641,Infrastructure,Ampli3,,,-16.7,0.8
1623394644,Devices,SPO1/18/11,2.16E-08,38.5,,
1623394644,Devices,SPO2/18/11,8.66E-07,23.5,,
1623394644,Infrastructure,Ampli3,,,-16.7,0.8
1623394647,Devices,SPO1/18/11,2.10E-08,38.6,,
1623394647,Infrastructure,Ampli1,,,-23,0.7
1623394647,Infrastructure,Ampli2,,,-15.5,0.4
1623394647,Devices,SPO2/18/11,8.69E-07,23.4,,
1623394647,Infrastructure,Ampli3,,,-16.7,0.8
1623394647,Infrastructure,Ampli4,,,-22.9,0.7
1623394651,Infrastructure,Ampli1,,,-23,0.7
1623394650,Devices,SPO2/18/11,8.69E-07,23.4,,
1623394651,Infrastructure,Ampli4,,,-22.9,0.7
1623394651,Infrastructure,Ampli2,,,-15.5,0.4
1623394654,Infrastructure,Ampli1,,,-23,0.7
1623394654,Infrastructure,Ampli4,,,-22.9,0.7
1623394654,Infrastructure,Ampli2,,,-15.5,0.4
1623394650,Devices,SPO1/18/11,2.17E-08,38.5,,
1623394651,Infrastructure,Ampli3,,,-16.7,0.8
1623394654,Devices,SPO2/18/11,8.58E-07,23.7,,
1623394654,Devices,SPO1/18/11,2.20E-08,38.5,,
