Timestamp,Type,ID,BER,OSNR,InputPower,OutputPower
1623416338,Infrastructure,Ampli1,,,-23.0,0.7
1623416337,Devices,SPO1/18/11,2.29e-08,38.6,,
1623416338,Devices,SPO2/18/11,8.195e-07,23.5,,
1623416338,Infrastructure,Ampli2,,,-15.5,0.4
1623416338,Infrastructure,Ampli4,,,-22.9,0.7
1623416338,Infrastructure,Ampli3,,,-16.7,0.8
1623416341,Infrastructure,Ampli1,,,-23.0,0.7
1623416341,Infrastructure,Ampli2,,,-15.5,0.4
1623416341,Devices,SPO1/18/11,2.36e-08,38.6,,
1623416341,Devices,SPO2/18/11,8.213e-07,23.6,,
1623416341,Infrastructure,Ampli4,,,-22.9,0.7
1623416341,Infrastructure,Ampli3,,,-16.7,0.8
1623416344,Infrastructure,Ampli1,,,-23.0,0.7
1623416344,Infrastructure,Ampli2,,,-15.5,0.4
1623416344,Devices,SPO1/18/11,2.21e-08,38.5,,
1623416344,Devices,SPO2/18/11,8.212e-07,23.5,,
1623416344,Infrastructure,Ampli3,,,-16.7,0.8
1623416347,Devices,SPO1/18/11,1.77e-08,38.6,,
1623416347,Devices,SPO2/18/11,8.218e-07,23.5,,
1623416347,Infrastructure,Ampli3,,,-16.7,0.8
1623416344,Infrastructure,Ampli4,,,-22.9,0.7
1623416347,Infrastructure,Ampli1,,,-23.0,0.7
1623416347,Infrastructure,Ampli2,,,-15.5,0.4
1623416347,Infrastructure,Ampli4,,,-22.9,0.7
1623416350,Infrastructure,Ampli1,,,-23.0,0.7
1623416350,Devices,SPO1/18/11,2.37e-08,38.6,,
1623416350,Devices,SPO2/18/11,8.245e-07,23.5,,
1623416351,Infrastructure,Ampli2,,,-15.5,0.4
1623416351,Infrastructure,Ampli4,,,-22.9,0.7
1623416354,Infrastructure,Ampli1,,,-23.0,0.7
1623416354,Infrastructure,Ampli2,,,-15.5,0.4
1623416354,Infrastructure,Ampli4,,,-22.9,0.7
1623416351,Infrastructure,Ampli3,,,-16.7,0.8
1623416354,Devices,SPO1/18/11,2.36e-08,38.6,,
