Timestamp,Type,ID,BER,OSNR,InputPower,OutputPower,Failure
1624457562,Devices,SPO1/18/11,2.31E-08,38.6,,,
1624457562,Infrastructure,Ampli1,,,-19.2,0.7,
1624457562,Devices,SPO2/18/11,1.72E-07,25.8,,,
1624457562,Infrastructure,Ampli3,,,-16.7,0.8,
1624457562,Infrastructure,Ampli2,,,-15.5,0.4,
1624457562,Infrastructure,Ampli4,,,-22.8,0.7,
1624457565,Devices,SPO1/18/11,2.31E-08,38.6,,,
1624457565,Devices,SPO2/18/11,1.71E-07,25.6,,,
1624457565,Infrastructure,Ampli1,,,-19.2,0.7,
1624457566,Infrastructure,Ampli2,,,-15.5,0.4,
1624457566,Infrastructure,Ampli4,,,-22.9,0.7,
1624457566,Infrastructure,Ampli3,,,-16.7,0.8,
1624457569,Devices,SPO1/18/11,1.78E-08,38.2,,,
1624457569,Infrastructure,Ampli1,,,-19.2,0.7,
1624457569,Devices,SPO2/18/11,1.69E-07,26.1,,,
1624457569,Infrastructure,Ampli3,,,-16.7,0.8,
1624457572,Devices,SPO1/18/11,2.34E-08,38.5,,,
1624457572,Devices,SPO2/18/11,1.7E-07,25.7,,,
1624457572,Infrastructure,Ampli3,,,-16.7,0.8,
1624457569,Infrastructure,Ampli2,,,-15.5,0.4,
1624457569,Infrastructure,Ampli4,,,-22.8,0.7,
1624457572,Infrastructure,Ampli1,,,-19.2,0.7,
1624457572,Infrastructure,Ampli2,,,-15.5,0.4,
1624457572,Infrastructure,Ampli4,,,-22.8,0.7,
1624457575,Infrastructure,Ampli1,,,-19.2,0.7,
1624457575,Infrastructure,Ampli2,,,-15.5,0.4,
1624457575,Devices,SPO1/18/11,2.43E-08,38.6,,,
1624457575,Devices,SPO2/18/11,1.72E-07,25.6,,,
1624457575,Infrastructure,Ampli3,,,-16.7,0.8,
1624457575,Infrastructure,Ampli4,,,-22.8,0.7,
1624457578,Devices,SPO1/18/11,2.45E-08,38.5,,,
1624457578,Devices,SPO2/18/11,1.73E-07,25.9,,,
1624457578,Infrastructure,Ampli1,,,-19.6,0.7,
1624457578,Infrastructure,Ampli3,,,-16.7,0.8,
1624457581,Devices,SPO1/18/11,2.49E-08,38.5,,,
1624457582,Devices,SPO2/18/11,1.91E-07,25.7,,,
